,text,ipa,syllables,stress,audio_files,audio_urls
1629,برودة,buˈruː.de,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-برودة.wav,https://upload.wikimedia.org/wikipedia/commons/6/64/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D8%B1%D9%88%D8%AF%D8%A9.wav
1630,بستوني,basˈtoː.ni,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بستوني.wav,https://upload.wikimedia.org/wikipedia/commons/1/1d/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B3%D8%AA%D9%88%D9%86%D9%8A.wav
1631,بطاطا,bɑˈtˤɑː.tˤɑ,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بطاطا.wav,https://upload.wikimedia.org/wikipedia/commons/3/35/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B7%D8%A7%D8%B7%D8%A7.wav
1632,بناية,bɪˈnæː.je,3,2,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-بناية.wav,https://upload.wikimedia.org/wikipedia/commons/4/41/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9.wav
1633,بندورة,banˈdoː.rˤɑ,3,2,LL-Q55633582 (ajp)-IbrahimZ (AdrianAbdulBaha)-بندورة.wav,https://upload.wikimedia.org/wikipedia/commons/0/06/LL-Q55633582_%28ajp%29-IbrahimZ_%28AdrianAbdulBaha%29-%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9.wav
1634,بوابة,bawˈwæː.be,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بوّابة.wav,https://upload.wikimedia.org/wikipedia/commons/6/6f/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D9%88%D9%91%D8%A7%D8%A8%D8%A9.wav
1635,تآمر,(ɪ)tˈʔæː.mɑrˤ,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-تآمر.wav,https://upload.wikimedia.org/wikipedia/commons/f/f4/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AA%D8%A2%D9%85%D8%B1.wav
1636,تأثر,(ɪ)tˈʔa.θar,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-تأثَّر.wav,https://upload.wikimedia.org/wikipedia/commons/5/5d/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%AA%D8%A3%D8%AB%D9%8E%D9%91%D8%B1.wav
1637,تأخر,ɪtˈʔax.xar,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تأخَّر.wav,https://upload.wikimedia.org/wikipedia/commons/3/3b/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A3%D8%AE%D9%8E%D9%91%D8%B1.wav
1638,تأذى,ɪtˈʔaz.za,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تأذّى.wav,https://upload.wikimedia.org/wikipedia/commons/b/b3/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A3%D8%B0%D9%91%D9%89.wav
1639,تأكد,ɪtˈʔak.kad,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تأكَّد.wav,https://upload.wikimedia.org/wikipedia/commons/4/46/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A3%D9%83%D9%8E%D9%91%D8%AF.wav
1640,تأمل,(ɪ)tˈʔam.mal,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-تأمَّل.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%AA%D8%A3%D9%85%D9%8E%D9%91%D9%84.wav
1641,تأهل,ɪtˈʔah.hal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تأهَّل.wav,https://upload.wikimedia.org/wikipedia/commons/a/a8/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A3%D9%87%D9%8E%D9%91%D9%84.wav
