fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file11.TextGrid,1,0.160,38,53,63,68,69,70,70,72,72,70,65.717
file11.TextGrid,2,0.420,70,63,69,72,70,70,69,68,59,41,66.365
file110.TextGrid,1,0.420,33,65,60,60,75,80,82,74,66,62,68.255
file110.TextGrid,2,0.450,62,71,70,77,70,70,62,51,45,36,62.557
file1100.TextGrid,1,0.170,40,57,74,79,80,82,83,83,82,79,75.483
file1100.TextGrid,2,0.560,79,82,81,83,73,62,60,48,39,35,64.738
file1101.TextGrid,1,0.180,43,71,80,84,85,84,81,78,74,71,77.594
file1101.TextGrid,2,0.450,71,70,75,82,80,75,59,54,49,42,66.974
file1102.TextGrid,1,0.310,31,64,65,80,84,82,77,68,65,61,70.824
file1102.TextGrid,2,0.250,61,61,65,68,73,76,76,76,73,65,70.098
file1103.TextGrid,1,0.220,20,37,53,59,62,62,64,80,82,79,61.236
file1103.TextGrid,2,0.550,79,78,80,80,72,62,62,51,42,31,64.557
file1104.TextGrid,1,0.390,60,78,82,77,71,71,70,70,66,68,71.844
file1104.TextGrid,2,0.500,68,74,75,72,68,67,64,60,47,9,62.969
file1105.TextGrid,1,0.200,24,55,71,75,76,76,74,63,45,45,64.103
file1105.TextGrid,2,0.430,45,44,43,41,46,70,71,68,64,47,54.448
file1106.TextGrid,1,0.330,33,45,62,63,58,68,75,61,54,52,57.935
file1106.TextGrid,2,0.260,52,69,67,67,68,66,61,56,47,41,61.271
file1107.TextGrid,1,0.200,36,64,72,74,76,76,77,76,76,70,71.857
file1107.TextGrid,2,0.470,70,70,64,71,68,56,50,47,42,39,57.957
file1108.TextGrid,1,0.250,29,36,39,32,61,66,67,77,80,75,56.837
file1108.TextGrid,2,0.600,75,74,73,75,72,70,57,51,46,27,63.743
file1109.TextGrid,1,0.410,36,59,57,55,67,78,77,76,75,68,66.723
file1109.TextGrid,2,0.540,68,69,79,77,73,69,62,58,53,28,65.748
file111.TextGrid,1,0.200,24,48,67,67,59,63,58,58,51,47,56.112
file111.TextGrid,2,0.360,47,65,79,78,78,77,77,76,72,67,73.272
file1110.TextGrid,1,0.290,20,53,58,61,61,61,64,70,74,69,61.139
file1110.TextGrid,2,0.290,69,40,17,48,75,76,75,70,57,18,55.845
file1111.TextGrid,1,0.300,30,57,68,62,81,79,70,74,70,73,68.113
file1111.TextGrid,2,0.340,73,78,80,80,71,61,53,45,47,38,63.668
file1112.TextGrid,1,0.350,36,65,71,79,82,81,68,60,59,62,68.493
file1112.TextGrid,2,0.340,62,71,73,73,68,57,54,56,49,36,61.662
file1113.TextGrid,1,0.310,7,28,40,54,54,56,69,77,72,50,53.166
file1113.TextGrid,2,0.390,50,41,75,75,72,53,51,50,46,35,55.691
file1114.TextGrid,1,0.160,26,48,63,66,69,79,82,82,81,76,69.176
file1114.TextGrid,2,0.450,76,75,79,78,77,62,54,49,43,29,62.574
file1115.TextGrid,1,0.220,63,64,66,70,80,76,76,73,74,77,71.996
file1115.TextGrid,2,0.390,77,80,77,71,65,58,53,50,45,36,62.099
file1116.TextGrid,1,0.470,24,47,49,52,67,76,76,77,78,70,63.959
file1116.TextGrid,2,0.450,70,66,72,72,71,69,61,50,43,12,60.156
file1117.TextGrid,1,0.160,19,45,66,66,70,71,72,76,76,73,65.156
file1117.TextGrid,2,0.280,73,63,64,62,71,75,75,76,74,62,69.491
file1118.TextGrid,1,0.100,39,53,67,73,77,79,80,79,78,77,71.641
file1118.TextGrid,2,0.470,77,70,77,78,79,68,62,58,46,40,66.487
file1119.TextGrid,1,0.040,80,80,81,81,82,82,82,83,83,83,81.715
file1119.TextGrid,2,0.540,83,76,78,75,81,80,69,60,47,30,70.106
file112.TextGrid,1,0.170,32,41,59,69,78,80,81,81,81,80,69.421
file112.TextGrid,2,0.500,80,77,77,76,66,67,65,49,44,36,64.191
file1120.TextGrid,1,0.270,14,61,74,75,63,59,58,56,52,41,59.016
file1120.TextGrid,2,0.710,41,13,82,77,65,70,65,71,64,43,60.969
